v_alpha, I_out_I
1.119000, -6.272211
1.120000, -6.283368
1.121000, -6.294534
1.122000, -6.305710
1.123000, -6.316895
1.124000, -6.328091
1.125000, -6.339296
1.126000, -6.350510
1.127000, -6.361735
1.128000, -6.372969
1.129000, -6.384213
1.130000, -6.395467
1.131000, -6.406731
1.132000, -6.418004
1.133000, -6.429287
1.134000, -6.440580
1.135000, -6.451882
1.136000, -6.463195
1.137000, -6.474517
1.138000, -6.485849
1.139000, -6.497190
1.140000, -6.508541
1.141000, -6.519902
1.142000, -6.531273
1.143000, -6.542654
1.144000, -6.554044
1.145000, -6.565444
1.146000, -6.576854
1.147000, -6.588273
1.148000, -6.599702
1.149000, -6.611141
1.150000, -6.622590
1.151000, -6.634049
1.152000, -6.645517
1.153000, -6.656995
1.154000, -6.668482
1.155000, -6.679980
1.156000, -6.691487
1.157000, -6.703004
1.158000, -6.714530
1.159000, -6.726066
1.160000, -6.737612
1.161000, -6.749168
1.162000, -6.760734
1.163000, -6.772309
1.164000, -6.783894
1.165000, -6.795489
1.166000, -6.807093
1.167000, -6.818707
1.168000, -6.830331
1.169000, -6.841965
1.170000, -6.853608
1.171000, -6.865261
1.172000, -6.876924
1.173000, -6.888596
1.174000, -6.900279
1.175000, -6.911971
1.176000, -6.923672
1.177000, -6.935384
1.178000, -6.947105
1.179000, -6.958836
1.180000, -6.970576
1.181000, -6.982326
1.182000, -6.994086
1.183000, -7.005856
1.184000, -7.017636
1.185000, -7.029425
1.186000, -7.041224
1.187000, -7.053032
1.188000, -7.064851
1.189000, -7.076679
1.190000, -7.088516
1.191000, -7.100364
1.192000, -7.112221
1.193000, -7.124088
1.194000, -7.135964
1.195000, -7.147851
1.196000, -7.159747
1.197000, -7.171652
1.198000, -7.183568
1.199000, -7.195493
1.200000, -7.207428
1.201000, -7.219372
1.202000, -7.231327
1.203000, -7.243291
1.204000, -7.255264
1.205000, -7.267248
1.206000, -7.279241
1.207000, -7.291244
1.208000, -7.303256
1.209000, -7.315278
1.210000, -7.327310
1.211000, -7.339352
1.212000, -7.351403
1.213000, -7.363464
1.214000, -7.375535
1.215000, -7.387615
1.216000, -7.399705
1.217000, -7.411805
1.218000, -7.423915
1.219000, -7.436034
1.220000, -7.448163
1.221000, -7.460301
1.222000, -7.472450
1.223000, -7.484608
1.224000, -7.496775
1.225000, -7.508953
1.226000, -7.521140
1.227000, -7.533337
1.228000, -7.545543
1.229000, -7.557759
1.230000, -7.569985
1.231000, -7.582220
1.232000, -7.594466
1.233000, -7.606721
1.234000, -7.618985
1.235000, -7.631259
1.236000, -7.643543
1.237000, -7.655837
1.238000, -7.668140
1.239000, -7.680453
1.240000, -7.692776
1.241000, -7.705108
1.242000, -7.717451
1.243000, -7.729802
1.244000, -7.742164
1.245000, -7.754535
